True , |Sim Sucess|
False , |Real Sucess|
9 , |Parent of Generation|
10.651054414727303 , |Acc Euclidean Generation|
True , |Sim Sucess|
False , |Real Sucess|
9 , |Parent of Generation|
10.651054414727303 , |Acc Euclidean Generation|
True , |Sim Sucess|
False , |Real Sucess|
9 , |Parent of Generation|
10.651054414727303 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
-0.166940518570443 , -0.14982529671827158 , 1.474840271343678 , 0.10873543421441167
-0.9814507336250193 , -0.5280362440304879 , 1.5920453808107007 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
10 , |Parent of Generation|
12.154046869865057 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
-0.166940518570443 , -0.14982529671827158 , 1.474840271343678 , 0.10873543421441167
-0.9814507336250193 , -0.5280362440304879 , 1.5920453808107007 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
11 , |Parent of Generation|
13.657039325002811 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
-0.166940518570443 , -0.14982529671827158 , 1.474840271343678 , 0.10873543421441167
-0.9814507336250193 , -0.5280362440304879 , 1.5920453808107007 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
12 , |Parent of Generation|
15.160031780140566 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
-0.166940518570443 , -0.14982529671827158 , 1.474840271343678 , 0.10873543421441167
-0.9814507336250193 , -0.5280362440304879 , 1.5920453808107007 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
13 , |Parent of Generation|
16.66302423527832 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
-0.166940518570443 , -0.14982529671827158 , 1.474840271343678 , 0.10873543421441167
-0.9814507336250193 , -0.5280362440304879 , 1.5920453808107007 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
14 , |Parent of Generation|
18.166016690416072 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
-0.166940518570443 , -0.14982529671827158 , 1.474840271343678 , 0.10873543421441167
-0.9814507336250193 , -0.5280362440304879 , 1.5920453808107007 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
15 , |Parent of Generation|
19.669009145553822 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
-0.05047498402249859 , -0.30717943267069303 , 1.444823555606758 , 0.10873543421441167
-0.9814507336250193 , -0.5280362440304879 , 1.5920453808107007 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
16 , |Parent of Generation|
21.339592709023776 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
-0.05047498402249859 , -0.30717943267069303 , 1.444823555606758 , 0.10873543421441167
-0.9814507336250193 , -0.5280362440304879 , 1.5920453808107007 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
17 , |Parent of Generation|
23.01017627249373 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
-0.05047498402249859 , -0.30717943267069303 , 1.444823555606758 , 0.10873543421441167
-0.9814507336250193 , -0.5280362440304879 , 1.5920453808107007 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
18 , |Parent of Generation|
24.680759835963684 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
-0.05047498402249859 , -0.30717943267069303 , 1.444823555606758 , 0.10873543421441167
-0.9814507336250193 , -0.5280362440304879 , 1.5920453808107007 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
19 , |Parent of Generation|
26.351343399433638 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
-0.05047498402249859 , -0.30717943267069303 , 1.444823555606758 , 0.10873543421441167
-0.9814507336250193 , -0.5280362440304879 , 1.5920453808107007 , 0.10873543421441167
True , |Sim Sucess|
False , |Real Sucess|
20 , |Parent of Generation|
28.021926962903592 , |Acc Euclidean Generation|
6 , Generation
154 , |Individual Number|
10 , |Number of points|
-0.05047498402249859 , -0.30717943267069303 , 1.444823555606758 , 0.10873543421441167
-0.9814507336250193 , -0.5280362440304879 , 1.5920453808107007 , 0.10873543421441167
